xc_px,yc_px,ra_deg,dec_deg,name
140.0,298.5,161.27386909615433,-59.61463862804855,
112.0,287.0,161.30001525011238,-59.620064807227735,
109.5,279.0,161.30235380356365,-59.623841936293424,
289.0,270.0,161.13471231776606,-59.628032624361545,
140.0,263.5,161.27387346470863,-59.631166385321734,
109.0,263.0,161.30282924211966,-59.631397348627466,
283.0,261.0,161.14030027822494,-59.63228804929653,
293.0,257.0,161.1309519618562,-59.634167731839966,
223.0,248.5,161.19633294154812,-59.63823206667076,
165.5,236.5,161.25004953676225,-59.64391582503305,
93.0,238.0,161.3177926947056,-59.643197736167636,
233.5,232.5,161.18650569500713,-59.64578211687619,
140.0,221.5,161.27387871265785,-59.650999705633325,
122.5,215.5,161.29023636673165,-59.65383091467306,
74.5,211.0,161.33510543095917,-59.65593963806691,
109.5,210.0,161.30239010311396,-59.656425240304166,
65.5,203.5,161.34352636715522,-59.659476543383285,
170.99999999999997,194.5,161.24489842942143,-59.663748464841795,
122.5,191.5,161.29024489908107,-59.66516424409108,
157.0,181.5,161.25798653960055,-59.669888702854706,
136.5,179.50000000000003,161.27715700713992,-59.67083277214892,
254.0,174.5,161.16726957399268,-59.673158118061046,
143.5,171.5,161.27061155896334,-59.67461099194998,
297.5,170.5,161.1265798638936,-59.67501046301663,
192.0,162.0,161.22524614182694,-59.67909121245604,
141.5,160.5,161.27248323853846,-59.679805342856376,
116.49999999999999,153.5,161.29587140177256,-59.68310748711021,
277.5,148.5,161.14524810429955,-59.68541769270261,
176.0,147.5,161.24020723131267,-59.68594210711206,
135.0,146.0,161.2785661420031,-59.68665207790781,
129.0,138.5,161.28418174560196,-59.690193045235986,
286.5,126.0,161.13678741273097,-59.696034727691504,
181.5,124.5,161.23505185367955,-59.69680214518655,
190.0,126.0,161.22709768106424,-59.69609176012233,
151.5,118.5,161.26312808231305,-59.69963887456102,
251.0,116.49999999999999,161.1699975849874,-59.70054902331676,
122.99999999999999,115.5,161.28980395715965,-59.701053215676716,
139.5,115.00000000000001,161.2743600503353,-59.701291332427786,
52.0,111.5,161.35626491914897,-59.702912781983315,
179.50000000000003,115.00000000000001,161.23691985099245,-59.70128866816282,
268.0,111.0,161.15407728391978,-59.70313378526931,
92.5,108.50000000000001,161.31835716304525,-59.70435028788895,
190.0,108.50000000000001,161.22708832609382,-59.70435564621598,
173.0,100.5,161.24299938374494,-59.70813704686204,
223.5,88.0,161.19570927684447,-59.714023416610566,
184.0,71.0,161.2326877792943,-59.72206547030034,
129.5,68.5,161.28373238431456,-59.72324865921277,
278.0,46.0,161.14460637666343,-59.733819922842514,
193.99999999999997,33.0,161.22329956008437,-59.74000726426764,
67.5,28.0,161.34184665251857,-59.74235254810181,
297.5,21.000000000000004,161.12628764131196,-59.7456074527546,
